movie_idx,neighbor_idx,score,rank
5,1401,0.1667401082011598,13
5,3307,0.16451679544356163,14
5,110,0.05225508964829918,15
5,4738,0.05208102624892063,16
5,3652,0.0507510558578568,17
5,1474,0.0503489556049954,18
5,862,0.04909688370359595,19
5,1097,0.04840951807819509,20
6,1826,0.4354141575950486,1
6,271,0.42643984783828104,2
6,2723,0.40930827521771856,3
6,2263,0.32415011183613446,4
6,915,0.3038894381728226,5
6,1249,0.2973413333522212,6
6,347,0.266341015881991,7
6,803,0.24290977517494408,8
6,110,0.07127284821141684,9
6,4738,0.07103543604110829,10
6,3652,0.06922143517638953,11
6,1474,0.06867299424018887,12
6,862,0.06696524230293566,13
6,1097,0.06602771628939956,14
6,3161,0.06593423972596173,15
6,447,0.06571614513551678,16
6,3118,0.06551711732278437,17
6,4309,0.06551711732278437,18
6,2271,0.06522948553009295,19
6,36,0.06488645670270447,20
7,7,1.0000000000000002,1
7,422,0.9569714715186262,2
7,430,0.9569714715186262,3
7,1349,0.9569714715186262,4
7,12,0.9393441804101524,5
7,2527,0.6859915835017163,6
7,4111,0.6712243662797013,7
7,2269,0.6503204631408475,8
7,1442,0.5943336423656032,9
7,2121,0.5640738717575012,10
7,4353,0.45862393746494057,11
7,4761,0.44701476947430513,12
7,4275,0.4164508072977483,13
7,576,0.3862209825867154,14
7,1584,0.35121183864089534,15
7,3714,0.2824276218870322,16
7,783,0.26722600258418405,17
7,3731,0.2664002442575336,18
7,3500,0.2511535525013838,19
7,2351,0.24467984434687387,20
8,1700,0.9668219858309289,1
8,426,0.8793725953256035,2
8,14,0.8733460728183743,3
8,1443,0.8532988813737696,4
8,52,0.7602691296226384,5
8,30,0.7460537320950728,6
8,100,0.6875437034810984,7
8,83,0.644331833915502,8
8,2,0.6356349429491452,9
8,50,0.6356349429491452,10
8,2401,0.4782146580286114,11
8,2133,0.3254709150162702,12
8,106,0.20589086883511457,13
8,4455,0.20589086883511457,14
8,3695,0.198857981647431,15
8,1356,0.18960087357709754,16
8,336,0.18620380500545697,17
8,4448,0.18478899462616924,18
8,1342,0.18191564060136056,19
8,3784,0.1805792700678643,20
9,3652,0.42931689459489675,1
9,19,0.34114291793080814,2
9,154,0.3388765428933611,3
9,445,0.29275871261612113,4
9,3342,0.2927349811087625,5
9,612,0.2760147187450065,6
9,602,0.27306559626987187,7
9,4358,0.26295086545295343,8
9,425,0.25877220451286154,9
9,3683,0.2208928317499015,10
9,432,0.2030784428697047,11
9,4892,0.1489085726331661,12
9,1474,0.10824329843659122,13
9,862,0.10555151683241025,14
9,447,0.10358267305378706,15
9,2271,0.10281559362919285,16
9,2306,0.10199396147883345,17
9,3551,0.1004659957211971,18
9,3405,0.0999070138272052,19
9,1503,0.09746759730302754,20
10,4415,0.4287295341097691,1
10,3292,0.41441085862329874,2
10,32,0.3952395581552652,3
10,437,0.3952395581552652,4
10,1093,0.3952395581552652,5
10,2475,0.3828551775302359,6
10,434,0.37250472268854995,7
10,1809,0.3633892368115588,8
10,4078,0.3618907721249855,9
10,1719,0.3272989596477731,10
10,3753,0.3144391431151297,11
10,2964,0.2792634853137881,12
10,2967,0.2684808243748451,13
10,3460,0.2684076634218621,14
10,432,0.2602966473072791,15
10,1125,0.24034069500583183,16
10,3717,0.23740419084345557,17
10,4136,0.23512398735559342,18
10,860,0.2199128443120374,19
10,659,0.2017470930970592,20
11,77,0.9796629037217955,1
11,433,0.8477379286803992,2
11,809,0.845573756641509,3
11,2865,0.8375418535735066,4
11,51,0.7945278785554413,5
11,28,0.7935377399971549,6
11,480,0.7702783853517894,7
11,1105,0.7419488571822866,8
11,227,0.7165451865398271,9
11,103,0.7165451865398271,10
11,2127,0.4348385857540347,11
11,3879,0.4293940579893501,12
11,3748,0.3469800530066459,13
11,2149,0.309599191901088,14
11,4490,0.30772881991079326,15
11,1146,0.2926641583147257,16
11,228,0.2703532208582808,17
